question,player,stat,line,liquidity,volume,yes_won,end_date
Jaylen Brown: Rebounds O/U 6.5,Jaylen Brown,Rebounds,6.5,0.0,107.642966,False,2026-04-30T04:00:00+00:00
Paul George: Rebounds O/U 5.5,Paul George,Rebounds,5.5,0.0,115.65210400000001,False,2026-04-30T04:00:00+00:00
Tyrese Maxey: Rebounds O/U 3.5,Tyrese Maxey,Rebounds,3.5,0.0,1357.9738069999999,False,2026-04-30T04:00:00+00:00
Derrick White: Rebounds O/U 3.5,Derrick White,Rebounds,3.5,0.0,99.64008,False,2026-04-30T04:00:00+00:00
Tyrese Maxey: Assists O/U 6.5,Tyrese Maxey,Assists,6.5,0.0,954.5528579999999,False,2026-04-30T04:00:00+00:00
Jayson Tatum: Assists O/U 6.5,Jayson Tatum,Assists,6.5,0.0,2503.594363,False,2026-04-30T04:00:00+00:00
Jaylen Brown: Assists O/U 4.5,Jaylen Brown,Assists,4.5,0.0,310.22107300000005,False,2026-04-30T04:00:00+00:00
Derrick White: Assists O/U 4.5,Derrick White,Assists,4.5,0.0,308.772771,False,2026-04-30T04:00:00+00:00
Joel Embiid: Assists O/U 4.5,Joel Embiid,Assists,4.5,0.0,1178.4652970000002,True,2026-04-30T04:00:00+00:00
Paul George: Assists O/U 3.5,Paul George,Assists,3.5,0.0,446.301153,False,2026-04-30T04:00:00+00:00
RJ Barrett: Points O/U 19.5,RJ Barrett,Points,19.5,0.0,1093.5491739999998,True,2026-04-29T04:00:00+00:00
Scottie Barnes: Points O/U 19.5,Scottie Barnes,Points,19.5,0.0,2166.7746340000003,False,2026-04-29T04:00:00+00:00
Brandon Ingram: Points O/U 18.5,Brandon Ingram,Points,18.5,0.0,1010.2892330000001,False,2026-04-29T04:00:00+00:00
Evan Mobley: Points O/U 16.5,Evan Mobley,Points,16.5,0.0,114.97016100000002,True,2026-04-29T04:00:00+00:00
Evan Mobley: Rebounds O/U 9.5,Evan Mobley,Rebounds,9.5,0.0,325.87914900000004,False,2026-04-29T04:00:00+00:00
Scottie Barnes: Rebounds O/U 7.5,Scottie Barnes,Rebounds,7.5,0.0,169.622348,True,2026-04-29T04:00:00+00:00
RJ Barrett: Rebounds O/U 5.5,RJ Barrett,Rebounds,5.5,0.0,117.74690000000001,True,2026-04-29T04:00:00+00:00
Brandon Ingram: Rebounds O/U 5.5,Brandon Ingram,Rebounds,5.5,0.0,130.0,False,2026-04-29T04:00:00+00:00
Scottie Barnes: Assists O/U 6.5,Scottie Barnes,Assists,6.5,0.0,1789.5926189999998,True,2026-04-29T04:00:00+00:00
Brandon Ingram: Assists O/U 3.5,Brandon Ingram,Assists,3.5,0.0,455.99155900000005,False,2026-04-29T04:00:00+00:00
RJ Barrett: Assists O/U 3.5,RJ Barrett,Assists,3.5,0.0,123.98530000000001,True,2026-04-29T04:00:00+00:00
Evan Mobley: Assists O/U 3.5,Evan Mobley,Assists,3.5,0.0,218.06,False,2026-04-29T04:00:00+00:00
Donovan Mitchell: Points O/U 26.5,Donovan Mitchell,Points,26.5,0.0,1261.151499,False,2026-04-29T04:00:00+00:00
James Harden: Points O/U 20.5,James Harden,Points,20.5,0.0,1093.10062,True,2026-04-29T04:00:00+00:00
James Harden: Rebounds O/U 4.5,James Harden,Rebounds,4.5,0.0,140.42111,True,2026-04-29T04:00:00+00:00
Donovan Mitchell: Rebounds O/U 4.5,Donovan Mitchell,Rebounds,4.5,0.0,888.5395910000001,True,2026-04-29T04:00:00+00:00
James Harden: Assists O/U 6.5,James Harden,Assists,6.5,0.0,284.722653,False,2026-04-29T04:00:00+00:00
Donovan Mitchell: Assists O/U 4.5,Donovan Mitchell,Assists,4.5,0.0,393.50461100000007,False,2026-04-29T04:00:00+00:00
Scottie Barnes: Assists O/U 7.5,Scottie Barnes,Assists,7.5,0.0,227.71742199999994,True,2026-04-29T23:30:00+00:00
Jarrett Allen: Points O/U 3.5,Jarrett Allen,Points,3.5,0.0,111.10211,True,2026-04-29T23:30:00+00:00
Ja'Kobe Walter: Points O/U 1.5,Ja'Kobe Walter,Points,1.5,0.0,99.95499999999998,True,2026-04-29T23:30:00+00:00
Jakob Poeltl: Points O/U 1.5,Jakob Poeltl,Points,1.5,0.0,399.98,True,2026-04-29T23:30:00+00:00
Dean Wade: Points O/U 0.5,Dean Wade,Points,0.5,0.0,99.964,True,2026-04-29T23:30:00+00:00
